Replay Review #,Replay Official Ruling,Ruling After Review,Review In Favor Of,Runs Scored Post Review,Outs Post Review,Runners Post Review
104,CONFIRMED,Safe,DET,0,1,R3
105,OVERTURNED,Out,SF,0,1,Bases Empty
106,STANDS,Safe,OAK,0,2,R1
107,OVERTURNED,Safe,MIN,0,0,"R1, R2"
108,OVERTURNED,No Catch,SF,0,0,R1
109,STANDS,Hit by Pitch,PIT,0,0,R1
110,STANDS,Safe,WSH,0,2,R1
111,OVERTURNED,Fair Ball,ATL,0,0,"R1, R2"
112,OVERTURNED,Home Run,TEX,2,2,Bases Empty
113,STANDS,Hit by Pitch,LAA,0,0,"R1, R2"
114,CONFIRMED,Out,BAL,0,3,N/A
115,CONFIRMED,No Catch,SF,0,2,"R2, R3"
116,CONFIRMED,Out,SEA,0,3,N/A
117,CONFIRMED,Out,DET,0,2,R1
118,OVERTURNED,Safe,SF,0,2,R1
119,CONFIRMED,No Home Run,MIA,0,1,Bases Empty
120,OVERTURNED,Safe,MIA,0,1,R1
121,STANDS,Safe,WSH,0,0,R1
122,CONFIRMED,Catcher's Interference,BOS,0,0,"R1, R2"
123,STANDS,Safe,TEX,0,1,"R1, R3"
124,CONFIRMED,No Violation,WSH,0,2,"R1, R2"
125,STANDS,Out,WSH,0,2,"R1, R2"
126,OVERTURNED,No Hit by Pitch,KC,0,1,"R1, R2, R3"
127,STANDS,Safe,LAD,0,2,R2
128,STANDS,Hit by Pitch,NYY,0,1,"R1, R2"
129,OVERTURNED,Safe,TB,0,2,R2
130,OVERTURNED,Out,KC,0,2,Bases Empty
131,OVERTURNED,Violation,WSH,1,2,R3
132,CONFIRMED,Out,STL,0,1,R1
133,CONFIRMED,Out,PIT,0,3,N/A
134,OVERTURNED,Out,PHI,0,3,N/A
135,OVERTURNED,Out,TEX,0,2,R3
136,OVERTURNED,No Hit by Pitch,NYM,0,0,Bases Empty
137,STANDS,Safe,SD,0,2,"R1, R3"
138,STANDS,Foul Ball,OAK,0,2,"R1, R2"
139,STANDS,Hit by Pitch,COL,0,0,"R1, R2"
140,STANDS,Out,CWS,0,3,N/A
141,OVERTURNED,Catcher's Interference,MIA,0,1,R1
142,STANDS,Hit by Pitch,LAA,0,2,"R1, R3"
143,OVERTURNED,Out,HOU,0,3,N/A
144,OVERTURNED,Safe,STL,1,2,"R1, R2, R3"
145,STANDS,Safe,CHC,0,1,"R1, R2, R3"
146,STANDS,Fair Ball,BOS,1,2,N/A
147,OVERTURNED,Safe,HOU,0,1,R1
148,STANDS,Out,COL,0,2,Bases Empty
149,RULES CHECK,N/A,STL,0,1,Bases Empty
150,CONFIRMED,Out,PIT,0,1,Bases Empty
151,CONFIRMED,Safe,MIL,0,0,"R1, R3"
152,OVERTURNED,Out,CLE,0,2,Bases Empty
153,OVERTURNED,Out,STL,0,2,Bases Empty
154,STANDS,Out,TB,0,2,Bases Empty
155,CONFIRMED,Out,KC,0,3,N/A
156,STANDS,Out,HOU,0,2,Bases Empty
157,OVERTURNED,Safe,CIN,0,1,R2
158,CONFIRMED,No Violation,PHI,0,2,"R1, R2"
159,OVERTURNED,Safe,COL,1,1,"R1, R2"
160,OVERTURNED,Safe,CHC,0,2,R2
161,OVERTURNED,Out,CHC,0,3,N/A
162,STANDS,Out,AZ,0,1,Bases Empty
163,OVERTURNED,Safe,DET,0,1,R1
164,OVERTURNED,Hit by Pitch,HOU,0,0,"R1, R2"
165,OVERTURNED,Out,PHI,0,2,Bases Empty
166,STANDS,Out,PHI,0,2,Bases Empty
167,OVERTURNED,Safe,HOU,0,2,R2
168,CONFIRMED,Home Run,TB,1,0,Bases Empty
169,CONFIRMED,Out,NYY,0,3,N/A
170,OVERTURNED,Out,COL,0,2,Bases Empty
171,OVERTURNED,Safe,SF,0,1,"R2, R3"
172,STANDS,Safe,SF,1,1,"R1, R3"
173,CONFIRMED,Out,PHI,0,3,N/A
174,OVERTURNED,Out,MIA,0,2,Bases Empty
175,CONFIRMED,Home Run,LAA,1,1,Bases Empty
176,CONFIRMED,Out,AZ,0,2,Bases Empty
177,CONFIRMED,Safe,KC,0,1,R1
178,CONFIRMED,Out,SD,0,2,Bases Empty
179,OVERTURNED,No Home Run,LAA,1,0,R3
180,OVERTURNED,Out,COL,0,3,N/A
181,STANDS,Out,ATL,0,2,R2
182,CONFIRMED,Home Run,PHI,2,1,Bases Empty
183,OVERTURNED,Safe,PIT,0,2,R2
184,STANDS,Safe,CLE,0,1,R3
185,OVERTURNED,Safe,TEX,0,1,"R1, R3"
186,STANDS,Out,AZ,0,1,"R1, R2"
187,OVERTURNED,Hit by Pitch,ATL,0,0,"R1, R2"
188,OVERTURNED,Safe,TB,1,1,R3
189,STANDS,Safe,TEX,0,2,R2
190,OVERTURNED,Out,CLE,0,2,Bases Empty
191,OVERTURNED,Safe,DET,0,2,R2
192,CONFIRMED,No Hit by Pitch,LAA,0,0,Bases Empty
193,STANDS,Safe,OAK,0,0,"R1, R3"
